iter	Passed	Remaining
386	151682	44289
387	152090	43902
388	152415	43491
389	152809	43100
390	153175	42701
391	153517	42295
392	153888	41898
393	154273	41505
394	154668	41114
395	155017	40711
396	155362	40308
397	155722	39908
398	156098	39513
399	156470	39117
400	156868	38728
401	157243	38332
402	157570	37926
403	157920	37525
404	158259	37122
405	158606	36721
406	158947	36319
407	159299	35920
408	159620	35514
409	159986	35119
410	160409	34735
411	160784	34342
412	161122	33940
413	161500	33548
414	161871	33154
415	162243	32760
416	162618	32367
417	162994	31975
418	163371	31582
419	163697	31180
420	164061	30785
421	164387	30384
422	164731	29986
423	165121	29597
424	165489	29204
425	165875	28814
426	166177	28409
427	166530	28014
428	167014	27641
429	167425	27255
430	167795	26862
431	168164	26470
432	168474	26068
433	168838	25675
434	169260	25291
435	169623	24898
436	169994	24507
437	170340	24112
438	170784	23730
439	171159	23339
440	171543	22950
441	171869	22553
442	172198	22156
443	172618	21771
444	172977	21379
445	173379	20992
446	173730	20598
447	174059	20203
448	174417	19811
449	174832	19425
450	175152	19029
451	175600	18647
452	176013	18261
453	176431	17876
454	176778	17483
455	177202	17098
456	177620	16712
457	178029	16325
458	178440	15939
459	178861	15553
460	179211	15161
461	179637	14775
462	179997	14384
463	180393	13996
464	180867	13613
465	181221	13222
466	181624	12834
467	182020	12445
468	182433	12058
469	182894	11674
470	183275	11284
471	183635	10893
472	183977	10501
473	184372	10113
474	184839	9728
475	185256	9340
476	185762	8957
477	186145	8567
478	186476	8175
479	186915	7788
480	187226	7395
481	187562	7004
482	187875	6612
483	188199	6221
484	188535	5830
485	188918	5442
486	189308	5053
487	189635	4663
488	190002	4274
489	190338	3884
490	190688	3495
491	191024	3106
492	191385	2717
493	191713	2328
494	192071	1940
495	192411	1551
496	192760	1163
497	193110	775
498	193479	387
499	193900	0
