iter	Logloss
0	0.689427971
1	0.68583674
2	0.6826200362
3	0.6795364893
4	0.6767143966
5	0.6739987311
6	0.6715756596
7	0.6692813528
8	0.6672291575
9	0.6651892213
10	0.6633328228
11	0.6617773548
12	0.6601370873
13	0.658815491
14	0.6572551606
15	0.6558415097
16	0.6547183912
17	0.6534271807
18	0.6523062799
19	0.6512042285
20	0.6501279271
21	0.6490769299
22	0.6480717445
23	0.6470289594
24	0.646202328
25	0.6453964355
26	0.6445317764
27	0.6438709662
28	0.6430411759
29	0.6422443129
30	0.6414897109
31	0.6407936528
32	0.640240249
33	0.6396057665
34	0.639041347
35	0.6384931689
36	0.6378953726
37	0.6373156262
38	0.6368331442
39	0.6363607326
40	0.6359297213
41	0.6355291921
42	0.6351305575
43	0.634683527
44	0.6342108925
45	0.6338698282
46	0.6333641441
47	0.6330450082
48	0.6326606477
49	0.6322707055
50	0.6318671833
51	0.631478029
52	0.6311104996
53	0.6307784057
54	0.6304928586
55	0.6301689119
56	0.6298841647
57	0.6295677149
58	0.6292731081
59	0.62888987
60	0.6285901698
61	0.6282784902
62	0.6279497764
63	0.6276135522
64	0.6273593536
65	0.6271204921
66	0.6268891923
67	0.6266583974
68	0.6263641385
69	0.62616229
70	0.6259476712
71	0.6257646444
72	0.6255081759
73	0.625311532
74	0.6250364202
75	0.6248202856
76	0.6246105537
77	0.6243689073
78	0.6241777839
79	0.6239161751
80	0.6237572822
81	0.6235776051
82	0.6233898998
83	0.6231593204
84	0.6229907989
85	0.6228221966
86	0.62267513
87	0.6225420707
88	0.622401574
89	0.6222087344
90	0.6220871582
91	0.6219343772
92	0.6217707421
93	0.6216165897
94	0.6214239466
95	0.6212967412
96	0.6211147731
97	0.6209535593
98	0.6207942399
99	0.6206370868
100	0.6205158556
101	0.6203689768
102	0.6202150324
103	0.6200532213
104	0.619955381
105	0.6197949465
106	0.6196915492
107	0.6195477763
108	0.6194430685
109	0.6192984831
110	0.6191708542
111	0.6190545706
112	0.6189157322
113	0.6187946579
114	0.6186497368
115	0.6185335795
116	0.618398669
117	0.6182670056
118	0.6181703236
119	0.6180484258
120	0.6179534504
121	0.6177973837
122	0.6176952895
123	0.6175830856
124	0.6174981873
125	0.6173708159
126	0.6172408346
127	0.6171587062
128	0.6170688351
129	0.616978524
130	0.6168887811
131	0.6167852878
132	0.6167195956
133	0.6166085968
134	0.6164938094
135	0.6164026854
136	0.6163095958
137	0.6162423618
138	0.6161530907
139	0.6160569945
140	0.6159738269
141	0.6158880113
142	0.6157828974
143	0.6157143054
144	0.6156383685
145	0.6155584793
146	0.6154739254
147	0.6153906333
148	0.615287235
149	0.6152148292
150	0.6151182382
151	0.6150514544
152	0.6149716333
153	0.6148801408
154	0.6148082825
155	0.6147109207
156	0.6146448954
157	0.6145525581
158	0.6145002207
159	0.6144312077
160	0.6143793568
161	0.6143213525
162	0.6142506421
163	0.6141837986
164	0.6141059521
165	0.6140575526
166	0.6139712746
167	0.6139091807
168	0.613857335
169	0.6137786944
170	0.6136964888
171	0.613629887
172	0.6135599924
173	0.6135169614
174	0.6134453115
175	0.6133923318
176	0.6133476942
177	0.6132871791
178	0.6132352619
179	0.6131732162
180	0.6131103812
181	0.6130559026
182	0.6130045672
183	0.6129576843
184	0.6128994676
185	0.6128512077
186	0.6127844074
187	0.6127202522
188	0.6126778932
189	0.6126347359
190	0.6125884356
191	0.6125285972
192	0.612470234
193	0.6124312915
194	0.6123660841
195	0.6123129009
196	0.6122383202
197	0.6121893338
198	0.6121276729
199	0.6120705757
200	0.6120134076
201	0.6119792264
202	0.611932388
203	0.6118738822
204	0.6118309187
205	0.6117895044
206	0.6117386751
207	0.611684263
208	0.6116499007
209	0.6116039253
210	0.6115680983
211	0.6115217253
212	0.6114864368
213	0.6114302423
214	0.6113799803
215	0.611343756
216	0.6113016141
217	0.6112493529
218	0.611218011
219	0.6111701782
220	0.6111214758
221	0.6110671247
222	0.6110342423
223	0.6109807328
224	0.6109515272
225	0.6109049333
226	0.6108487577
227	0.6108017282
228	0.6107640914
229	0.6107171846
230	0.6106803788
231	0.6106469347
232	0.6105979428
233	0.6105457143
234	0.6105107991
235	0.6104589628
236	0.6104247887
237	0.610384348
238	0.6103527988
239	0.6103164895
240	0.6102851332
241	0.6102504118
242	0.6102164848
243	0.6101736343
244	0.610137121
245	0.610096874
246	0.6100541886
247	0.6100216983
248	0.6099845232
249	0.6099461157
250	0.6099017238
251	0.6098712665
252	0.6098296586
253	0.6097887927
254	0.6097553711
255	0.6097260805
256	0.6096859648
257	0.6096495279
258	0.6096033304
259	0.6095816877
260	0.6095502603
261	0.6095183838
262	0.609480491
263	0.6094417333
264	0.6094023284
265	0.6093731607
266	0.609347882
267	0.6092967689
268	0.6092627827
269	0.6092231371
270	0.6091816142
271	0.6091492939
272	0.6091210999
273	0.6090921301
274	0.6090654901
275	0.6090367718
276	0.6090027877
277	0.6089736766
278	0.6089444947
279	0.6089139136
280	0.6088857197
281	0.6088572099
282	0.6088159896
283	0.608781807
284	0.608747765
285	0.6087227188
286	0.6086987502
287	0.6086699325
288	0.6086474342
289	0.6086158709
290	0.6085993707
291	0.6085558301
292	0.6085158764
293	0.6084797329
294	0.6084523801
295	0.6084215491
296	0.608385523
297	0.6083539023
298	0.608328171
299	0.6082970401
300	0.6082739317
301	0.6082432896
302	0.6082123965
303	0.6081804311
304	0.6081583768
305	0.6081342285
306	0.6081096508
307	0.6080946773
308	0.6080751423
309	0.608043311
310	0.6080215263
311	0.6079941319
312	0.6079739875
313	0.6079478117
314	0.6079280165
315	0.6078981543
316	0.6078668098
317	0.6078316252
318	0.6078115182
319	0.6077866471
320	0.6077662576
321	0.6077404363
322	0.6077080167
323	0.6076749922
324	0.6076384799
325	0.6076147712
326	0.6075786271
327	0.6075482152
328	0.6075267852
329	0.6075059129
330	0.6074844555
331	0.607463938
332	0.6074358108
333	0.6074054851
334	0.6073836955
335	0.6073586682
336	0.6073295195
337	0.6073096111
338	0.6072786855
339	0.607256919
340	0.607240773
341	0.607223356
342	0.607193007
343	0.6071626718
344	0.6071321664
345	0.6071015385
346	0.6070750792
347	0.6070431608
348	0.6070182281
349	0.6069904785
350	0.6069726641
351	0.6069433502
352	0.606918114
353	0.6068864654
354	0.6068702248
355	0.6068512146
356	0.6068293922
357	0.606811186
358	0.6067916657
359	0.6067680185
360	0.6067466201
361	0.606724547
362	0.6067042181
363	0.6066870557
364	0.6066702432
365	0.6066471446
366	0.6066259647
367	0.6065982148
368	0.6065815584
369	0.6065558175
370	0.606537365
371	0.6065175894
372	0.6064983099
373	0.6064851133
374	0.6064682111
375	0.6064505197
376	0.6064323841
377	0.606400886
378	0.6063788651
379	0.606350756
380	0.6063337495
381	0.6063051254
382	0.6062905771
383	0.6062645951
384	0.6062512283
385	0.6062337779
386	0.6062107582
387	0.6061879713
388	0.6061683939
389	0.6061440042
390	0.6061290829
391	0.6061112024
392	0.6060911909
393	0.606066244
394	0.606046572
395	0.6060316033
396	0.6060124937
397	0.6059961824
398	0.6059731119
399	0.6059426823
400	0.6059156134
401	0.6058914371
402	0.6058697894
403	0.6058452302
404	0.6058264445
405	0.6058036009
406	0.6057803273
407	0.605762168
408	0.6057459558
409	0.6057290403
410	0.6056976748
411	0.6056771662
412	0.6056632323
413	0.6056368201
414	0.605618717
415	0.6055923048
416	0.6055785695
417	0.6055651224
418	0.6055480119
419	0.60553059
420	0.6055133713
421	0.6054986239
422	0.6054849169
423	0.605466833
424	0.6054464804
425	0.6054288409
426	0.6054157435
427	0.6053962793
