iter	Logloss
428	0.6053773353
429	0.6053552197
430	0.6053379676
431	0.605315351
432	0.605303166
433	0.6052863205
434	0.6052645359
435	0.6052425242
436	0.605220395
437	0.6052013706
438	0.6051806021
439	0.6051566195
440	0.6051362053
441	0.6051253768
442	0.6051105259
443	0.6050887126
444	0.6050781156
445	0.6050501673
446	0.605031885
447	0.6050210947
448	0.6050001037
449	0.6049826061
450	0.604970993
451	0.6049503001
452	0.6049319562
453	0.60491652
454	0.6049015084
455	0.604878868
456	0.6048638752
457	0.6048433619
458	0.604824342
459	0.6047984166
460	0.6047858534
461	0.6047741879
462	0.6047628536
463	0.6047476485
464	0.6047318238
465	0.6047216712
466	0.6047060028
467	0.6046886043
468	0.6046747652
469	0.6046592333
470	0.6046480596
471	0.6046329958
472	0.6046200545
473	0.6046061682
474	0.6045918656
475	0.6045699627
476	0.6045504608
477	0.6045245781
478	0.6045128941
479	0.6044949379
480	0.604485532
481	0.6044631795
482	0.6044504651
483	0.604433856
484	0.6044165185
485	0.6043990398
486	0.6043843263
487	0.6043721649
488	0.6043563593
489	0.6043401092
490	0.6043255275
491	0.604310718
492	0.6042935652
493	0.6042832812
494	0.6042648378
495	0.6042513435
496	0.6042400896
497	0.6042199591
498	0.6042075659
499	0.6041944119
